ReadableTitle,Title,Author,Narrator,Series,Genres,Description
Mistborn: The Final Empire,Mistborn:TheFinalEmpire,BrandonSanderson,MichaelKramer,Mistborn,Action&Adventure Dystopian Epic Fantasy,"From #1 New York Times bestselling author Brandon Sanderson the Mistborn series is a heist story of political intrigue and magical martial-arts action. For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler the ""Sliver of Infinity"" reigned with absolute power and ultimate terror divinely invincible. Then when hope was so long lost that not even its memory remained a terribly scarred heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader he turned his talents to the ultimate caper with the Lord Ruler himself as the mark. Kelsier recruited the underworld's elite the smartest and most trustworthy allomancers each of whom shares one of his many powers and all of whom relish a high-stakes challenge. Only then does he reveal his ultimate dream not just the greatest heist in history but the downfall of the divine despot. But even with the best criminal crew ever assembled Kel's plan looks more like the ultimate long shot until luck brings a ragged girl named Vin into his life. Like him she's a half-Skaa orphan but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets and gotten it. She will have to learn to trust if Kel is to help her master powers of which she never dreamed. This saga dares to ask a simple question: What if the hero of prophecy fails? Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer (forthcoming) The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity"
Mistborn: Secret History,Mistborn:SecretHistory,BrandonSanderson,MichaelKramer KateReading,Mistborn,Action&Adventure Epic Dystopian Fantasy,Note: This novella is included in Arcanum Unbounded: The Cosmere Collection now available in print ebook and audiobook from Tor (US/Canada) and Gollancz (UK/Commonwealth). Mistborn: Secret History is a companion story to the original Mistborn Trilogy. As such it contains huge spoilers for the books Mistborn (The Final Empire) The Well of Ascension and The Hero of Ages. It also contains very minor spoilers for the book The Bands of Mourning. Mistborn: Secret History builds upon the characterization events and worldbuilding of the original trilogy. Reading it without that background will be a confusing process at best. In short this isn’t the place to start your journey into Mistborn. (Though if you have read the trilogy—but it has been a while—you should be just fine so long as you remember the characters and the general plot of the books.) Saying anything more here risks revealing too much. Even knowledge of this story’s existence is in a way a spoiler. There’s always another secret.
Shadows of Self,ShadowsofSelf,BrandonSanderson,MichaelKramer,Mistborn,Action&Adventure Drama Fantasy Western,<p>Fans of Robert Jordan and George R. R. Martin alike have found a new champion of epic fantasy in Brandon Sanderson. And now in the first of two sequels to <i>The Alloy of Law</i> the <i>Sunday Times</i> and <i>New York Times</i> best-selling author returns to the world of Mistborn. </p> <p>It is more than 300 years after the events of the The Final Empire shaped Scadrial. Waxillium Ladrian has returned to the capital city of Elendel from the far-flung roughs. </p> <p>Elendel is crisscrossed by canals and railways and towers reach for the sky but this is still a city of dangers and of magic; Allomancy and Feruchemy can still change the world. Wax faces many more adventures. </p> <p>Sanderson is a master of rich worlds appealing characters and gripping plots and his return to Mistborn shows him at the height of his powers.</p>
The Alloy of Law,TheAlloyofLaw,BrandonSanderson,MichaelKramer,Mistborn,Fantasy Drama Western,<p>The Mistborn trilogy has become a firm favourite with fantasy fans the world over. The imagination that Sanderson brought to the series and his skill at marshalling epic storylines and dramatic action plus his ability to create vivid characters made him a natural choice to complete Robert Jordan's epic Wheel of Time sequence. But with Mistborn his stand-alone fantasies and his new series The Stormlight Archive Sanderson has shown his bountiful talents in his own fiction. </p> <p>Now he returns to the series that made his name with a new story set years after the events of <i>Hero of Ages</i>. </p> <p>In a world recovering only slowly from evil a world where allomancers wield immense power through their ability to unleash the magic bound up in common metals someone who can burn metals that no-one has burned before can tip the balance.... </p> <p>Sanderson has the knack of giving epic fantasy listeners exactly what they want. This ability has thrown him to the forefront of the genre and the dramatic story within <i>The Alloy of Law</i> shows off this skill to its very best.</p>
The Bands of Mourning,TheBandsofMourning,BrandonSanderson,MichaelKramer,Mistborn,Western Fantasy Epic,When a researcher returns to Elendel with images of a mythical Lord Ruler artifact believed to grant wearers his power Waxillium Ladrian conducts an investigation in the southern city of New Seran where he makes unsettling discoveries about the true goals of The Set.
The Hero of Ages,TheHeroofAges,BrandonSanderson,MichaelKramer,Mistborn,Post-Apocalyptic Fantasy Epic Dystopian,THE INTERNATIONAL PHENOMENON BEHIND THE COSMERE **** A new emperor; but can there be a new world? Tricked into releasing the evil spirit Ruin while attempting to close the Well of Ascension new emperor Elend Venture and his wife the assassin Vin are now hard-pressed to save the world. This adventure brings the Mistborn epic fantasy trilogy to a dramatic and surprising climax as Sanderson's saga offers complex characters and a compelling plot asking hard questions about loyalty faith and responsibility. **** FANTASY DOESN'T GET BETTER THAN SANDERSON: 'Highly recommend to anyone hungry for a good read' ROBIN HOBB 'Epic in every sense' GUARDIAN 'Sanderson is the most immersive fantasy writer I've ever encountered' BEN AARONOVITCH 'All the explosive action any adventure fan could want' LOCUS
The Alloy of Law,TheAlloyofLaw,BrandonSanderson,MichaelKramer,Mistborn,Western Fantasy Epic,The Mistborn trilogy has become a firm favourite with fantasy fans the world over. The imagination that Sanderson brought to the series and his skill at marshalling epic storylines and dramatic action his ability to create vivid characters made him a natural choice to complete Robert Jordan's epic wheel of time sequence. But with Mistborn his standalone fantasies and his new series The Stormlight Archive Sanderson has shown his bountiful talents in his own fiction. Now he returns to the series that made his name with a new story set years after the events of Hero of Ages. In a world recovering only slowly from evil a world where allomancers wield immense power through their ability to unleash the magic bound up in common metals someone who can burn metals that no-one has burned before can tip the balance... Sanderson has the knack of giving the epic fantasy reader exactly what they want. This ability has thrown him to the forefront of the genre and the dramatic story within The Alloy of Law shows off this skill to its very best.
The Well of Ascension,TheWellofAscension,BrandonSanderson,MichaelKramer,Mistborn,Dystopian Fantasy Action&Adventure Epic,THE INTERNATIONAL PHENOMENON BEHIND THE COSMERE **** The Dark Lord is dead and now a new world can be built. The impossible has happened. The Lord Ruler is dead has been vanquished. But so too is Kelsier the man who masterminded the triumph. The awesome task of rebuilding the world has been left to his protege Vin; a one-time street urchin now the most powerful Mistborn in the land. Worryingly for her Vin has become the focus of a new religion a development that leaves her intensely uneasy. More worryingly still the mists have become unpredictable since the Lord Ruler died and a strage vaprous entity is stalking Vin. As the siege of Luthadel intensifies the ancient legend of the Well of Ascension offers the only glimmer of hope. But no-one knows where it is or what it can do... **** FANTASY DOESN'T GET BETTER THAN SANDERSON: 'Highly recommend to anyone hungry for a good read' ROBIN HOBB 'Epic in every sense' GUARDIAN 'Sanderson is the most immersive fantasy writer I've ever encountered' BEN AARONOVITCH 'All the explosive action any adventure fan could want' LOCUS
Calamity,Calamity,BrandonSanderson,MacLeodAndrews,Reckoners,YoungAdult ScienceFiction Post-Apocalyptic Dystopian Action&Adventure,Read the final book in the #1 New York Times bestselling Reckoners series by worldwide bestselling author Brandon Sanderson! When Calamity lit up the sky the Epics were born. David’s fate has been tied to their villainy ever since that historic night. Steelheart killed his father. Firefight stole his heart. And now Regalia has turned Prof his closest ally into a dangerous enemy. David knew Prof’s secret and kept it even when Prof struggled to control the effects of his Epic powers. But facing Obliteration in Babilar was too much. Once the Reckoners’ leader Prof has now embraced his Epic destiny. He’s disappeared into those murky shadows of menace Epics are infamous for the world over and everyone knows there’s no turning back. . . . But everyone is wrong. Redemption is possible for Epics—Megan proved it. They’re not lost. Not completely. And David is just about crazy enough to face down the most powerful High Epic of all to get his friend back. Or die trying. Praise for the Reckoners series: #1 New York Times Bestselling Series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club
Firefight,Firefight,BrandonSanderson,MacLeodAndrews,Reckoners,Post-Apocalyptic ScienceFiction YoungAdult Dystopian Action&Adventure,They told David it was impossible - that even the Reckoners had never killed a High Epic. Yet Steelheart - invincible immortal unconquerable - is dead. And he died by David's hand. Eliminating Steelheart was supposed to make life more simple. Instead it only made David realize he has questions. Big ones. And there's no one in Newcago who can give him the answers he needs. Babylon Restored the old borough of Manhattan has possibilities though. Ruled by the mysterious High Epic Regalia David is sure Babylon Restored will lead him to what he needs to find. And while entering another city oppressed by a High Epic despot is a gamble David's willing to risk it. Because killing Steelheart left a hole in David's heart. A hole where his thirst for vengeance once lived. Somehow he filled that hole with another Epic - Firefight. And he's willing to go on a quest darker and more dangerous even than the fight against Steelheart to find her and to get his answers.
Mitosis,Mitosis,BrandonSanderson,MacleodAndrews,Reckoners,Dystopian ScienceFiction YoungAdult Post-Apocalyptic Action&Adventure,From the #1 New York Times bestselling author of Words of Radiance co-author of Robert Jordan's Wheel of Time series and creator of the internationally bestselling Mistborn Trilogy Brandon Sanderson comes Mitosis a short story set in the action-packed world of Steelheart: the Reckoners series. Epics still plague Newcago but David and the Reckoners have vowed to fight back. Catch all the action before Firefight the exciting sequel to Steelheart hits the shelves.
Steelheart,Steelheart,BrandonSanderson,MacLeodAndrews,Reckoners,Action&Adventure Dystopian Post-Apocalyptic YoungAdult ScienceFiction,The #1 New York Times bestseller from Brandon Sanderson the author of Oathbringer coauthor of Robert Jordan’s The Wheel of Time series and creator of the internationally bestselling Mistborn trilogy. And don’t miss the rest of the Reckoners series: Firefight and Calamity. How far would you go for revenge if someone killed your father? If someone destroyed your city? If everything you ever loved was taken from you? David Charleston will go to any lengths to stop Steelheart. But to exact revenge in Steelheart’s world David will need the Reckoners—a shadowy group of rebels bent on maintaining justice. And it turns out that the Reckoners might just need David too. Look for book two in the Reckoners series Firefight available now. Praise for the Reckoners series #1 New York Times Bestselling Series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club
Skyward,Skyward,BrandonSanderson,SophieAldred,TheSkywardSeries,Adventure ScienceFiction Spacewarfare YoungAdult Post-Apocalyptic Aliens,Defeated crushed and driven almost to extinction the remnants of the human race is trapped on a planet that is constantly attacked by mysterious alien starfighters. Spensa a teenage girl living among them longs to be a pilot. When she discovers the wreckage of an ancient ship she realizes this dream might be possible - assuming she can repair the ship navigate flight school and (perhaps most importantly) persuade the strange machine to help her. Because this ship uniquely appears to have a soul.
Starsight,Starsight,BrandonSanderson,SophieAldred,TheSkywardSeries,Adventure Aliens ScienceFiction Spacewarfare SpaceOpera YoungAdult,All her life Spensa has dreamed of becoming a pilot. Of proving she's a hero like her father. She made it to the sky but the truths she learned about her father were crushing....
Cytonic,Cytonic,BrandonSanderson,SophieAldred,TheSkywardSeries,YoungAdult Spacewarfare SpaceOpera ScienceFiction Aliens Action&Adventure,Spensa's life as a Defiant Defense Force pilot has been far from ordinary....
Defending Elysium,DefendingElysium,BrandonSanderson,NickCamm,TheSkywardSeries,Action&Adventure Aliens ScienceFiction Spacewarfare YoungAdult,As Brandon Sanderson’s #1 bestselling Skyward series celebrates its third volume Cytonic travel back in time to the origin of Cytonics in the novella Defending Elysium. Centuries before Spensa looked skyward from the planet Detritus—back on Old Earth before it was lost—Jason Write faced a crucial question: was humanity ready to join galactic society? When faster-than-light communications were discovered by a small telephone company in 2071 alien species such as the Tenasi and Varvax overheard them and came to visit Earth. Because the Phone Company controls all communications with the aliens their operatives like Jason operate above the law. Now on the space platform Evensong one of the Phone Company’s scientists has gone missing before surfacing in a hospital with amnesia and Jason is sent to investigate. Right as he arrives the body of a murdered Varvax ambassador is discovered sure to cause a galactic incident. Coln Abrams of the United Intelligence Bureau seizes the opportunity to investigate Jason as he deals with the crisis. This could be the UIB’s chance to discover the Phone Company’s secrets—how does FTL communication work and what is Jason hiding? Winner of Spain’s UPC Award for Science Fiction in 2007.
Evershore,Evershore,BrandonSanderson JanciPatterson,SuzyJackson,TheSkywardSeries,Action&Adventure Aliens Spacewarfare YoungAdult ScienceFiction,From #1 bestselling author Brandon Sanderson and Janci Patterson comes the third of three Skyward series novellas set after Cytonic. With the government of Detritus in disarray because of Superiority treachery and with Spensa still away on her mission in the Nowhere Jorgen must work together with the alien Alanik to pick up the pieces. They intercept a strange transmission from the planet Evershore and its Kitsen inhabitants who say they have some of Jorgen's people and want to return them-but can the Kitsen be trusted? And can Jorgen learn to master his increasingly erratic cytonic powers before they spiral out of control and destroy all hope of forming an alliance against the Superiority?
ReDawn,ReDawn,BrandonSanderson JanciPatterson,SuzyJackson,TheSkywardSeries,YoungAdult Spacewarfare ScienceFiction Aliens Action&Adventure,"From #1 bestselling author Brandon Sanderson and Janci Patterson comes the second of three Skyward series novellas each told from the perspective of a different member of the team back on Detritus. Read Alanik's story between Starsight and Cytonic. “Don’t trust their lies. Don’t trust their false peace.” That is the warning that Alanik of the planet ReDawn gave the human pilot Spensa after Alanik’s ship crash-landed on Detritus. While accepting an invitation to meet with her people’s enemy the Galactic Superiority Alanik heard Spensa’s cry for help across the vastness of space and she used her cytonic powers to hyperjump her ship to the source of that cry. What she found there was a shock—a whole planet of free humans fighting against the Superiority. Were they the allies her people desperately needed? When she recovered from her injuries and met the friendly humans Jorgen and FM of Skyward Flight she found that her warning to Spensa had gone unheeded by the government of Detritus and they were considering a peace overture from the Superiority. Now having returned to ReDawn Alanik is dismayed to learn that her own people are falling into the exact same trap. The faction in ReDawn’s government that wants to appease the Superiority has gained the upper hand. With Alanik’s mentor Renakin captured she has no one to turn to but Jorgen FM and their friend Rig. An ancient technology may have the power to save both of their planets from disaster but can they discover its secrets before it’s too late? Praise for Skyward An Instant New York Times Bestseller A Kirkus Reviews Best Book of the Year • ""Startling revelations and stakes-raising implications . . . Sanderson plainly had a ball with this nonstop highflying opener and readers will too."" —Kirkus Reviews starred review • ""With this action-packed trilogy opener Sanderson offers up a resourceful fearless heroine and a memorable cast."" —Publishers Weekly starred review • ""It is impossible to turn the pages fast enough."" —Booklist"
Sunreach,Sunreach,BrandonSanderson JanciPatterson,SuzyJackson,TheSkywardSeries,Action&Adventure Aliens ScienceFiction Spacewarfare YoungAdult,From #1 bestselling author Brandon Sanderson and Janci Patterson comes the first of three Skyward series novellas set between Starsight and Cytonic. When a planet-destroying Delver suddenly appears in the sky of Detritus and vanishes just as suddenly FM knows that the last free human society got lucky. Her Skyward Flight companion Spensa figured out how to draw this Delver away but it won't be so easy next time. The forces of the Galactic Superiority will be back-and if the Defiant Defense Force can't figure out a way to escape the planet humanity's destruction is only a matter of time. Spensa's mission to infiltrate the Superiority unveiled the secret to their hyperdrives-a cytonic slug species called the Taynix. Now FM's flightleader Jorgen has found a large group of Taynix hiding in the caverns far below Detritus's surface. FM and Jorgen must work together with the engineer Rig to awaken the mysterious alien Alanik and unlock the powers of the Taynix or humanity will be trapped. With Spensa's friend Minister Cuna of the Superiority stranded at the outpost of Sunreach they need to figure out how to rescue her-before her foes in the Superiority government can prepare a new weapon to wipe out Detritus once and for all.
Defiant,Defiant,BrandonSanderson,SophieAldred,TheSkywardSeries,YoungAdult Spacewarfare ScienceFiction Aliens Action&Adventure,From the #1 New York Times bestselling author Brandon Sanderson comes the final book in an epic series about a girl who will travel beyond the stars to save the world she loves from destruction. Spensa made it out of the Nowhere but what she saw in the space between the stars has changed her forever. She came face to face with the Delvers and finally got answers to the questions she's had about her own strange Cytonic gifts. The Superiority didn't stop in it's fight for galactic dominance while she was gone though. Spensa's team Skyward Flight was able to hold Winzik off and even collect allies to help with the cause but it's only a matter of time until humanity - and the rest of the galaxy - falls. Defeating them will require all the knowledge Spensa gathered while in the Nowhere. But being Cytonic is more complicated than she ever could have imagined. Now Spensa must ask herself: how far is she willing to go for victory if it means losing herself - and her friends - in the process. The final book in the Skyward series will free humanity or see it fall forever.
The Wandering Inn,TheWanderingInn,Pirateaba,AndreaParsneau,TheWanderingInn,Action&Adventure LitRPG Fantasy,An inn is a place to rest a place to talk and share stories a place to find adventure or a starting ground for quests and legends. It is in this world at least. To Erin Solstice an inn seems like a medieval relic from the past. But here she is running from Goblins and trying to survive in a world full of monsters and magic. She’d be more excited about all of this if everything wasn’t trying to kill her. But an inn is what she’s found and so that’s what she becomes; an innkeeper who serves drinks to heroes and monsters. Mostly monsters. But it’s a living right?
Fae and Faire,FaeandFaire,Pirateaba,AndreaParsneau,TheWanderingInn,YoungAdult Fantasy Action&Adventure LitRPG,It’s a bad day when Erin finds herself transported to a fantastical world and nearly gets eaten by a Dragon. She doesn’t belong in a place where monster attacks are a fact of life and where humans are one species among many. But she must adapt to her new life - or die....
Flowers of Esthelm,FlowersofEsthelm,Pirateaba,AndreaParsneau,TheWanderingInn,Action&Adventure LitRPG YoungAdult Fantasy,The city of Celum is not much like Liscor at all. While Erin is surrounded by familiar human faces she’s far from home and without her inn. At the same time a certain ill-tempered Lyonette is squatting in Erin’s inn and Goblins are on the move....
The Black Prism,TheBlackPrism,BrentWeeks,SimonVance,LightbringerSaga,Epic Fantasy Action&Adventure,Gavin Guile is the Prism the most powerful man in the world. He is high priest and emperor a man whose power wit and charm are all that preserves a tenuous peace. But Prisms never last and Guile knows exactly how long he has left to live: Five years to achieve five impossible goals. But when Guile discovers he has a son born in a far kingdom after the war that put him in power he must decide how much he's willing to pay to protect a secret that could tear his world apart.
The Blinding Knife,TheBlindingKnife,BrentWeeks,SimonVance,LightbringerSaga,Fantasy Action&Adventure Epic,Gavin's powers are fading and his end draws near as war rages across the satrapies in the second novel of the NYT bestselling Lightbringer series by Brent Week. Gavin Guile is dying. He'd thought he had five years left -- now he has less than one. With fifty thousand refugees a bastard son and an ex-fiance who may have learned his darkest secret Gavin has problems on every side. All magic in the world is running wild and threatens to destroy the Seven Satrapies. Worst of all the old gods are being reborn and their army of color wights is unstoppable. The only salvation may be the brother whose freedom and life Gavin stole sixteen years ago. If you loved the action and adventure of the Night Angel trilogy you will devour this incredible epic fantasy series by Brent Weeks.
The Broken Eye,TheBrokenEye,BrentWeeks,SimonVance,LightbringerSaga,Epic Fantasy Action&Adventure,As the old gods awaken and satrapies splinter the Chromeria races to find the only man who might still end a civil war before it engulfs the known world. But Gavin Guile has been captured by an old enemy and enslaved on a pirate galley. Worse still Gavin has lost more than his powers as Prism - he can't use magic at all. Without the protection of his father Kip Guile will face a master of shadows as his grandfather moves to choose a new Prism and put himself in power.
The Blood Mirror,TheBloodMirror,BrentWeeks,SimonVance,LightbringerSaga,Action&Adventure Epic Fantasy,"Gavin Guile is missing leaving Kip and his allies to face the White King's horde in the fourth novel of the NYT bestselling Lightbringer series by Brent Week's. When does an empire fall? The Seven Satrapies have collapsed into four-and those are falling before the White King's armies. Gavin Guile ex-emperor ex-Prism ex-galley slave formerly the one man who might have averted war is now lost broken and trapped in a prison crafted by his own hands to hold a great magical genius. But Gavin has no magic at all. Worse in this prison Gavin may not be alone. Kip Guile will make a last desperate attempt to stop the White King's growing horde. Karris White attempts to knit together an empire falling apart helped only by her murderous and possibly treasonous father-in-law Andross Guile. Meanwhile Teia's new talents will find a darker use-and the cost might be too much to bear. Together they will fight to prevent a tainted empire from becoming something even worse. Devour this blockbuster epic fantasy series that had Peter V. Brett saying ""Brent Weeks is so good it's starting to tick me off!"""
The Burning White,TheBurningWhite,BrentWeeks,SimonVance,LightbringerSaga,Epic Fantasy Action&Adventure,The Burning White is the epic conclusion to the Lightbringer series by New York Times bestseller Brent Weeks - one of the most popular fantasy series of the decade. IN THE DARKEST HOUR WILL THE LIGHTBRINGER COME? Gavin Guile once the most powerful man the world had ever seen has been laid low. He's lost his magic and now he is on a suicide mission. Failure will condemn the woman he loves. Success will condemn his entire empire. As the White King springs his great traps and the Chromeria itself is threatened by treason and siege Kip guile must gather his forces rally his allies and scramble to return for one impossible final stand. With over four million copies sold Brent Weeks is one of the fastest-selling fantasy authors of all time. PRAISE FOR THE LIGHTBRINGER SERIES 'One of the best examples of modern fantasy that I have read' Fantasy Faction 'Brent Weeks has a style and immediacy of detail that pulls the reader relentlessly into his story. He doesn't allow you to look away' Robin Hobb 'Brent Weeks is so good it's beginning to tick me off' Peter V. Brett 'Nobody does breakneck pacing and amazingly executed plot twists like Brent Weeks' Brian McClellan The Lightbringer series The Black Prism The Blinding Knife The Broken Eye The Blood Mirror The Burning White More novels from Brent Weeks: The Night Angel series: The Way of Shadows Shadow's Edge Beyond the Shadows Perfect Shadow (novella)
Storm Front,StormFront,JimButcher,JamesMarsters,TheDresdenFiles,Supernatural Contemorary Dark Fantasy Detective,'The Dresden Files is my favourite series ever' Patrick Rothfuss author of The Name of the Wind ***THE SUNDAY TIMES AND NEW YORK TIMES NO.1 BESTSELLING SERIES*** Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Harry's business as a private investigator has been quiet lately - so when the police bring him in to consult on a grisly double murder committed with black magic he's seeing dollar signs. But where there's black magic there's a black mage behind it. And now that mage knows Harry's name. Magic - it can get a guy killed. The first case file of Harry Dresden private investigator and wizard Storm Front is the first novel in the Sunday Times bestselling Dresden Files series perfect for fans of Supernatural and urban fantasy fiction by authors such as Benedict Jacka and Ben Aaronovitch. 'Butcher's storytelling is satisfying on a level that's bone-deep' io9 'One of the most reliable post-Buffy supernatural thriller series on offer' Time Out 'Dresden has a vitality that few urban fantasy heroes can match' SFX The Dresden Files novels begin with STORM FRONT and continue with FOOL MOON GRAVE PERIL SUMMER KNIGHT DEATH MASKS BLOOD RITES DEAD BEAT PROVEN GUILTY WHITE NIGHT SMALL FAVOUR TURN COAT CHANGES GHOST STORY COLD DAYS and SKIN GAME. For more of Harry Dresden's adventures check out the Dresden Files short story collections SIDE JOBS and BRIEF CASES.
Fool Moon,FoolMoon,JimButcher,JamesMarsters,TheDresdenFiles,Contemorary Detective Dark Fantasy Supernatural,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Business has been slow lately for Harry Dresden. Okay business has been dead. Not undead - just dead. You would think Chicago would have a little more action for the only professional wizard in the phone book. But lately Harry hasn't been able to dredge up any kind of work - magical or mundane. But just when it looks like he can't afford his next meal a murder comes along that requires his particular brand of supernatural expertise. A brutally mutilated corpse. Strange-looking paw prints. A full moon. Take three guesses. And the first two don't count . . . Magic - it can get a guy killed. 'The Dresden Files is my favourite series ever' Patrick Rothfuss author of The Name of the Wind 'Butcher's storytelling is satisfying on a level that's bone-deep' io9 'One of the most reliable post-Buffy supernatural thriller series on offer' Time Out 'Dresden has a vitality that few urban fantasy heroes can match' SFX The Dresden Files novels begin with STORM FRONT and continues with FOOL MOON GRAVE PERIL SUMMER KNIGHT DEATH MASKS BLOOD RITES DEAD BEAT PROVEN GUILTY WHITE NIGHT SMALL FAVOUR TURN COAT CHANGES GHOST STORY COLD DAYS and SKIN GAME. For more of Harry Dresden's adventures check out the Dresden Files short story collections SIDE JOBS and BRIEF CASES.
Grave Peril,GravePeril,JimButcher,JamesMarsters,TheDresdenFiles,Supernatural Fantasy Detective Dark Contemorary,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Harry has faced some terrifying foes during his career. Giant scorpions. Oversexed vampires. Psychotic werewolves. It comes with the territory when you're the only wizard in town. But in all Harry's years of supernatural sleuthing he's never faced anything like this: the spirit world's gone loco. All over town ghosts are causing trouble - and not the door-slamming boo-shouting variety. These ghosts are tormented violent and deadly. Someone is stirring them up to wreak havoc. But why? And why do so many of the victims have ties to Harry? If Harry doesn't figure it out soon he might just wind up a ghost himself. Magic - it can get a guy killed.
Summer Knight,SummerKnight,JimButcher,JamesMarsters,TheDresdenFiles,Contemorary Detective Fantasy Supernatural Dark,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Since his girlfriend left town to deal with her newly acquired taste for blood Harry's been down and out. He can't pay his rent. He's alienating his friends. He can't recall his last shower. Then when things are at their worst the Winter Queen of Faerie saunters in with an offer Harry can't refuse. All he has to do is find out who murdered the Summer Knight the Summer Queen's right-hand man and clear the Winter Queen's name. It seems simple but Faerie politics seldom work out that way. Then Harry discovers the fate of the entire world rests on this case. So no pressure . . . Magic - it can get a guy killed.
Death Masks,DeathMasks,JimButcher,JamesMarsters,TheDresdenFiles,Supernatural Fantasy Dark Detective Contemorary,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Harry Dresden should be happy that business is good - makes a change. But now he's getting more than he bargained for: a duel with the Red Court of Vampires' champion who must kill Harry to end the war between vampires and wizards; professional hit men using Harry for target practice; the missing Shroud of Turin (less missing than expected) and a headless corpse the Chicago police need identifying . . . Not to mention the return of Harry's ex-girlfriend Susan still struggling with her semi-vampiric nature. And who seems to have a new man. Some days it just doesn't pay to get out of bed. No matter how much you're charging. Magic - it can get a guy killed.
Blood Rites,BloodRites,JimButcher,JamesMarsters,TheDresdenFiles,Contemorary Dark Detective Fantasy Supernatural,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Harry's had worse assignments than going undercover on the set of an adult film. Dodging flaming monkey poo for instance. Or going toe-to-leaf with a plant monster. Still there's something troubling about this case. The Producer believes he's afflicted by an entropy curse - but it's the women around him who are dying. And Harry only got involved as a favour to Thomas his flirtatious self-absorbed vampire acquaintance. Thomas has a personal stake in the case Harry can't work out until his investigation leads him straight to Thomas's oversexed relatives. Harry's about to discover the skeleton in Thomas's family closet: a revelation that will change Harry's life for ever. Magic - it can get a guy killed.
Dead Beat,DeadBeat,JimButcher,JamesMarsters,TheDresdenFiles,Supernatural Fantasy Detective Dark Contemorary,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world isfull of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Luckily however he's not alone. Although most people don't believe in magic the Chicago P.D. has a Special Investigations department headed by his good friend Karrin Murphy. They deal with the . . . stranger cases. It's down to Karrin that Harry sneaks into Graceland Cemetery to meet a vampire named Mavra. Mavra has evidence that would destroy Karrin's career and her demands are simple. She wants the Word of Kemmler - and all the power that comes with it. But first Harry's keen to know what he'd be handing over. Before long he's racing against time and six necromancers to get the Word. And to prevent a Halloween that would truly wake the dead. Magic - it can get a guy killed.
Proven Guilty,ProvenGuilty,JimButcher,JamesMarsters,TheDresdenFiles,Contemorary Dark Detective Fantasy Supernatural,Meet Harry Dresden Chicago's first (and only) Wizard P.I. Turns out the 'everyday' world is full of strange and magical things - and most of them don't play well with humans. That's where Harry comes in. Harry has no friends on the White Council of Wizards who find him brash and undisciplined (and they may have a point). However now vampire wars have thinned out the wizards a little they need him. So before he can blink he's assigned to investigate rumours of black magic. Harry's other problem is an old friend's daughter - all grown-up and in trouble already. Her boyfriend insists he's innocent of something resembling a crime straight out of a horror film. This first impression turns out to be . . . well pretty accurate as Harry discovers malevolent entities feeding on fear. All in a day's work for a wizard his dog and a talking skull named Bob. Magic - it can get a guy killed.
